Id,PostTypeId,CreationDate,Score,ViewCount,Tags,AnswerCount,FavoriteCount
"61536","1","2019-10-10 05:58:58","1","131","<machine-learning><neural-network><reinforcement-learning><dqn>","1",""
"61540","1","2019-10-10 06:51:08","0","26","<machine-learning><classifier>","1",""
"61544","1","2019-10-10 08:28:22","0","26","<dataset><ml>","1",""
"61546","1","2019-10-10 09:06:55","0","268","<machine-learning><python><deep-learning><keras><convnet>","1",""
"61547","1","2019-10-10 09:37:34","0","15","<r><image>","0",""
"61548","1","2019-10-10 10:20:44","0","137","<python><scikit-learn><pandas><linear-regression>","3",""
"61549","1","2019-10-10 10:21:42","1","1912","<python><classification><scikit-learn><class-imbalance><imbalanced-learn>","3","2"
"61551","1","2019-10-10 11:21:04","0","57","<keras>","1",""
"61552","1","2019-10-10 11:54:41","1","450","<linear-regression>","1",""
"61557","1","2019-10-10 12:49:12","1","2958","<python><deep-learning><tensorflow><data-science-model>","1",""
"61558","1","2019-10-10 13:21:48","0","261","<nlp><named-entity-recognition><spacy>","1",""
"61559","1","2019-10-10 13:50:01","0","11","<machine-learning><predictive-modeling>","0",""
"61561","1","2019-10-10 14:01:33","0","109","<keras><lstm><embeddings>","1",""
"61563","1","2019-10-10 14:36:01","0","55","<classification><data-mining><correlation><association-rules><pattern-recognition>","3",""
"61564","1","2019-10-10 14:42:19","1","37","<machine-learning><neural-network><classification><nlp>","1",""
"61565","1","2019-10-10 15:00:50","0","408","<dataframe>","1",""
"61567","1","2019-10-10 15:38:15","0","53","<pca><descriptive-statistics>","3",""
"61569","1","2019-10-10 16:57:56","0","180","<scikit-learn><normalization>","1",""
"61576","1","2019-10-10 19:21:02","1","104","<python><neural-network><ensemble-modeling><activation-function>","1",""
"61577","1","2019-10-10 20:03:05","0","35","<machine-learning>","1",""
"61579","1","2019-10-10 20:51:41","1","12","<gan><generative-models><mnist>","1",""
"61581","1","2019-10-10 23:16:44","2","146","<machine-learning><nlp><sampling>","0",""
"61584","1","2019-10-11 02:34:35","1","48","<time-series><regression>","2","1"
"61585","1","2019-10-11 05:29:21","0","169","<tensorflow><probability><bayesian><dirichlet>","0",""
"61587","1","2019-10-11 07:57:03","2","1077","<deep-learning><tensorflow><object-detection><object-recognition>","1","1"
"61590","1","2019-10-11 08:50:54","2","31","<machine-learning><predictive-modeling><statistics>","0","1"
"61594","1","2019-10-11 10:33:48","0","115","<machine-learning><neural-network><statistics>","0",""
"61595","1","2019-10-11 11:02:35","0","383","<scikit-learn><cross-validation>","0",""
"61598","1","2019-10-11 12:06:12","2","26","<deep-learning><object-detection>","0",""
"61602","1","2019-10-11 13:20:18","0","68","<python><pandas><feature-selection>","1",""
"61603","1","2019-10-11 13:25:38","5","1178","<keras><word2vec><word-embeddings><gensim><embeddings>","1",""
"61607","1","2019-10-11 14:31:06","0","105","<keras><sequence-to-sequence>","0",""
"61608","1","2019-10-11 14:55:41","0","67","<python><time-series><predictive-modeling><churn>","1",""
"61613","1","2019-10-11 18:23:26","1","78","<cnn><logistic-regression>","1",""
"61614","1","2019-10-11 18:33:15","0","29","<neural-network><classification><image-classification>","2",""
"61617","1","2019-10-11 18:55:06","0","9","<python><matplotlib>","0",""
"61618","1","2019-10-11 20:21:42","1","685","<openai-gym>","1",""
